"geolocation_id","street_address_alias","city_alias","state_province_code","street_address","city","postal_code","country_code","latitude","longitude","time_zone"
1905,"2455 huntington drive","fairfield","CA","2455 Huntington Drive","Fairfield",94533,"US",38.27798500,-121.97184500,"America/Los_Angeles"
1906,"1010 isuzu parkway","grand prairie","TX","1010 Isuzu Pkwy, Grand Prairie, TX 75050, USA","Grand Prairie",75050,"US",32.80299900,-97.05074600,"America/Chicago"
1907,"1900 east orangethorpe avenue","fullerton","CA","1900 E Orangethorpe Ave, Fullerton, CA 92831, USA","Fullerton",92831,"US",33.85939390,-117.89656180,"America/Los_Angeles"
1908,"1510 cargo court","minooka","IL","1510 Cargo Ct, Minooka, IL 60447, USA","Minooka",60447,"US",41.44454950,-88.30330370,"America/Chicago"
1909,"3319 lincoln avenue","tacoma","WA","3319 Lincoln Ave, Tacoma, WA 98421, USA","Tacoma",98421,"US",47.26884560,-122.38870770,"America/Los_Angeles"
1910,"22100 southwest langer farms parkway","sherwood","OR","22100 SW Langer Farms Pkwy, Sherwood, OR 97140, USA","Sherwood",97140,"US",45.35993670,-122.83511940,"America/Los_Angeles"
1911,"410 west carmel drive","carmel","IN","410 W Carmel Dr, Carmel, IN 46032, USA","Carmel",46032,"US",39.96273780,-86.13278630,"America/Indiana/Indianapolis"
1912,"4550 quality dr.","memphis","TN","4550 Quality Dr, Memphis, TN 38118, USA","Memphis",38118,"US",35.02611100,-89.91187900,"America/Chicago"
1913,"2804 mccone avenue","hayward","CA","2804 McCone Ave, Hayward, CA 94545, USA","Hayward",94545,"US",37.64397990,-122.13353200,"America/Los_Angeles"
1914,"11316 north 46th street","tampa","FL","11316 N 46th St, Tampa, FL 33617, USA","Tampa",33617,"US",28.04965200,-82.41147500,"America/New_York"
1915,"10175 wheeler road","central point, or","OR","10175 Wheeler Rd, Central Point, OR 97502, USA","Central Point",97502,"US",42.46185670,-122.93991090,"America/Los_Angeles"
1916,"10175 wheeler road","central point","OR","10175 Wheeler Rd, Central Point, OR 97502, USA","Central Point",97502,"US",42.46185670,-122.93991090,"America/Los_Angeles"
1917,"7720 north robinson","oklahoma city","OK","7720 N Robinson Ave, Oklahoma City, OK 73116, USA","Oklahoma City",73116,"US",35.54978810,-97.51516370,"America/Chicago"
